filename	ATTRIBUTE_Code	ATTRIBUTE_Replicate	ATTRIBUTE_polarity	ATTRIBUTE_Type	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	ATTRIBUTE_Organe	ATTRIBUTE_Broad_organ	ATTRIBUTE_Tissue	ATTRIBUTE_Subsystem	ATTRIBUTE_Sppart	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	_merge
LQ-01-61-70_02_neg.mzML	V115000	2	negative	Sample	Celastraceae	Salacia	salacia cochinchinensis	Underground_parts	multiple	multiple	belowground	Salacia_cochinchinensis|Underground_parts	False	False	Salacia cochinchinensis	ICN	1.0	salacia cochinchinensis	[]	False	False	Salacia cochinchinensis	6093201.0	species	ott3.3draft1	[]	['gbif:5579857']	Salacia cochinchinensis	both
LQ-01-61-71_02_neg.mzML	V102387	2	negative	Sample	Celastraceae	Salacia	salacia prinoides	Indeterminated	multiple	multiple	multiple	Salacia_prinoides|Indeterminated	False	True	Salacia prinoides	ICN	1.0	salacia prinoides	[]	False	False	Salacia chinensis	380833.0	species	ott3.3draft1	['Comocladia serrata', 'Johnia coromandeliana', 'Johnia serrata', 'Salacia angularis', 'Salacia coromandeliana', 'Salacia evonymiflora', 'Salacia littoralis', 'Salacia naumannii', 'Salacia patens', 'Salacia podopetala', 'Salacia prinoides', 'Salacia roxburghii', 'Salacia sinensis', 'Salacia socia', 'Salacia wightiana', 'Tonsella chinensis', 'Tontelea prinoides']	['ncbi:1009589', 'gbif:5414293', 'irmng:10202499']	Salacia chinensis	both
LQ-01-61-72_02_neg.mzML	V102634	2	negative	Sample	Celastraceae	Salacia	salacia letestuana	Fruits	reproductive	green tissue	aboveground	Salacia_letestuana|Fruits	False	True	Salacia letestuana	ICN	1.0	salacia letestuana	[]	False	False	Salacighia letestuana	673632.0	species	ott3.3draft1	['Salacia letestuana', 'Salacighia malpighioides']	['ncbi:670378', 'gbif:3791314']	Salacighia letestuana	both
LQ-01-61-73_02_neg.mzML	V109564	2	negative	Sample	Celastraceae	Tripterygium	tripterygium hypoglacum	Roots	roots	root tissue	belowground	Tripterygium_hypoglacum |Roots	True	False	Tripterygium hypoglaucum	ICN	0.9583333134651184	tripterygium hypoglacum	[]	False	False	Tripterygium hypoglaucum	906992.0	species	ott3.3draft1	[]	['ncbi:205465', 'gbif:8761330']	Tripterygium hypoglaucum	both
LQ-01-61-74_02_neg.mzML	V107005	2	negative	Sample	Celastraceae	Tripterygium	tripterygium wilfordii	Roots	roots	root tissue	belowground	Tripterygium_wilfordii|Roots	False	False	Tripterygium wilfordii	ICN	1.0	tripterygium wilfordii	[]	False	False	Tripterygium wilfordii	300831.0	species	ott3.3draft1	['Aspidopterys hypoglauca', 'Tripterygium bullockii', 'Tripterygium forrestii', 'Tripterygium hypoglaucum', 'Tripterygium regelii', 'Tripterygium regelii occidentale', 'Tripterygium wilfordii exesum', 'Tripterygium wilfordii regelii']	['ncbi:458696', 'gbif:5579615']	Tripterygium wilfordii	both
LQ-01-61-75_02_neg.mzML	V107006	2	negative	Sample	Celastraceae	Tripterygium	tripterygium wilfordii	Stems	woody vegetative	woody tissue 	aboveground	Tripterygium_wilfordii|Stems	False	False	Tripterygium wilfordii	ICN	1.0	tripterygium wilfordii	[]	False	False	Tripterygium wilfordii	300831.0	species	ott3.3draft1	['Aspidopterys hypoglauca', 'Tripterygium bullockii', 'Tripterygium forrestii', 'Tripterygium hypoglaucum', 'Tripterygium regelii', 'Tripterygium regelii occidentale', 'Tripterygium wilfordii exesum', 'Tripterygium wilfordii regelii']	['ncbi:458696', 'gbif:5579615']	Tripterygium wilfordii	both
LQ-01-61-76_02_neg.mzML		2	negative	Blank_process																									left_only
LQ-01-61-78_02_neg.mzML	V113570	2	negative	Sample	Celastraceae	Reissantia 	reissantia indica	Roots	roots	root tissue	belowground	Reissantia_indica|Roots	False	True	Reissantia indica	ICN	1.0	reissantia indica	[]	False	False	Pristimera indica	332602.0	species	ott3.3draft1	['Hippocratea beccarii', 'Hippocratea cassinoides', 'Hippocratea disperma', 'Hippocratea euonymoides', 'Hippocratea fuscescens', 'Hippocratea indica', 'Hippocratea lobbii', 'Hippocratea obtusifolia', 'Hippocratea pentandra', 'Reissantia barbata', 'Reissantia cassinoides', 'Reissantia indica', 'Tontelea disperma']	['ncbi:123465', 'gbif:7265761']	Pristimera indica	both
LQ-01-61-01_03_neg.mzML	V107694 	3	negative	Sample	Celastraceae	Catha	catha edulis	Leaves	photosynthetic	green tissue	aboveground	Catha_edulis|Leaves	False	False	Catha edulis	ICN	1.0	catha edulis	[]	False	False	Catha edulis	282743.0	species	ott3.3draft1	['Catha forskalii', 'Catha glauca', 'Catha inermis', 'Celastrus edulis', 'Celastrus tsaad', 'Dillonia abyssinica', 'Hartogia thea', 'Methyscophyllum glaucum', 'Trigonotheca serrata']	['ncbi:123405', 'gbif:7979745', 'irmng:10202236']	Catha edulis	both
LQ-01-61-02_03_neg.mzML	V107695	3	negative	Sample	Celastraceae	Catha	catha edulis	Stems	woody vegetative	woody tissue 	aboveground	Catha_edulis|Stems	False	False	Catha edulis	ICN	1.0	catha edulis	[]	False	False	Catha edulis	282743.0	species	ott3.3draft1	['Catha forskalii', 'Catha glauca', 'Catha inermis', 'Celastrus edulis', 'Celastrus tsaad', 'Dillonia abyssinica', 'Hartogia thea', 'Methyscophyllum glaucum', 'Trigonotheca serrata']	['ncbi:123405', 'gbif:7979745', 'irmng:10202236']	Catha edulis	both
